RFM,avgR,avgF,avgM,numStoresInBin,binSales,pctTotalSales
111,0.30853391684901482,3238.741794310723,653611.600503282,457,298700501.43,70.28
122,0.48255813953488413,882.75581395348809,102429.66784883721,344,35235805.74,8.29
121,0.32989690721649495,1044.1649484536078,306051.71938144346,97,29687016.78,6.99
133,1.186588921282798,428.96501457725964,51750.479154518951,343,17750414.35,4.18
112,0.51162790697674387,1661.2558139534888,111587.62790697676,86,9596536,2.26
132,0.92173913043478262,524.36521739130433,81895.253826086948,115,9417954.19,2.22
144,2.8694444444444454,155.6611111111111,19097.910999999986,360,6875247.96,1.62
123,0.85106382978723416,794.63829787234022,54855.762659574459,94,5156441.69,1.21
143,1.7333333333333334,262.13333333333321,44180.075666666678,90,3976206.81,0.94
134,1.6578947368421055,398.28947368421052,27405.970789473686,76,2082853.78,0.49
113,1.8571428571428577,1376.1428571428571,56343.766428571427,14,788812.73,0.19
142,2.125,233.25,91244.045,8,729952.36,0.17
244,18.622222222222224,108.64444444444439,13346.402000000006,45,600588.09,0.14
141,2.5,161.5,288548.385,2,577096.77,0.14
211,16.5,1391,174839.77500000002,2,349679.55,0.08
124,0.90909090909090906,819.5454545454545,31406.44,11,345470.84,0.08
233,19.285714285714285,443.28571428571428,44505.141428571427,7,311535.99,0.07
344,31.423076923076923,116.42307692307693,11592.155769230767,26,301396.05,0.07
234,19.727272727272723,404.27272727272725,26612.729090909092,11,292740.02,0.07
223,16.4,854.8,56428.712,5,282143.56,0.07
222,23.666666666666668,923.66666666666663,90403.033333333326,3,271209.1,0.06
322,27,1006,110905.54000000001,2,221811.08,0.05
333,35.75,456,52750.835,4,211003.34,0.05
444,45.666666666666664,57.111111111111128,6917.6825925925932,27,186777.43,0.04
332,30.5,477.5,89158.75,2,178317.5,0.04
421,41,630,165983.96,1,165983.96,0.04
131,0,534,162461.61,1,162461.61,0.04
221,25,1085,154530.57,1,154530.57,0.04
323,35,801.5,54496.015,2,108992.03,0.03
243,19.5,245,47709.2,2,95418.4,0.02
212,17,1281,74349.86,1,74349.86,0.02
334,36.5,479,22484.505,2,44969.01,0.01
114,0,1362,31850.51,1,31850.51,0.01
224,15,623,27368.55,1,27368.55,0.01
